% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 14 2018, 13:46"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
34,7.886935162542556E7,1019.8776616356678,756.3091034474947,1385.3129969373372,864.7644674838676,1178.448152632876,1173.482762032134,1168.654030074531,1159.8182613472313,1038.480561512653,1033.5193880920147,1028.6947569075573,1019.866492250029,905.378989837145,900.421346407314,895.6001476864698,886.7781660045056,869.2665464792291
35,7.81403578239162E7,1019.908544646842,757.8488424830147,1382.6947260138154,871.2433038446969,1176.7893343892847,1171.870094601683,1167.0862357307128,1158.3325624720383,1038.385724297269,1033.470432952222,1028.690413481067,1019.9437667646124,906.6129423261608,901.7008758781577,896.9239921670224,888.183090429393,870.8216149193164
36,7.754205489004399E7,1019.8820073298701,759.199464002413,1380.0785663899837,877.424813313968,1175.1812169313357,1170.3000002233603,1165.5531114797136,1156.8670741738974,1038.2691176256844,1033.3915280520969,1028.6481662323217,1019.9685846789113,907.7170537657472,902.842364496452,898.101822783381,889.4274148938968,872.1986399515191
37,7.700706274004364E7,1019.8760082284001,760.4088143929283,1377.6066013366276,883.2086416867634,1173.745716857697,1168.8985170011401,1164.1847027477688,1155.5591752572113,1038.1861084848824,1033.3422312647822,1028.6316478083959,1020.012034043296,908.731608604808,903.8903268204957,899.1822669990662,890.5672837128558,873.4564873668158
38,7.655952019207066E7,1019.862618806232,761.4597527551053,1375.2279297262216,888.6307407127441,1172.4391577221418,1167.6204919654424,1162.9344209478622,1154.3596499627756,1038.116861731362,1033.3012060678338,1028.6180619049428,1020.0486476659092,909.6421749974276,904.828815573759,900.1479040951705,891.5825832661816,874.5740685802031
39,7.620567913681312E7,1019.8346056456238,762.3478396408765,1372.929368300035,893.7004218009223,1171.2502274394733,1166.4542306153912,1161.790199757958,1153.255751537839,1038.056240114899,1033.262926357815,1028.6015043388338,1020.0718296107456,910.4450151333082,905.6537004533901,900.994222151115,892.4681041789441,875.5459217033898
40,7.593428466150269E7,1019.8029228550357,763.0835266343428,1370.7285231306087,898.4073623382848,1170.1934997965832,1165.41499789209,1160.7679761060567,1152.2646447308048,1038.0114266474143,1033.235276924157,1028.5905422152086,1020.0913948941951,911.1476967667321,906.3732565594001,901.7301839956016,893.234076335854,876.3830242513633
41,7.571884206001228E7,1019.7878356167013,763.6959999355932,1368.6552313353122,902.7305724201489,1169.2890563140527,1164.5245067826368,1159.8910493861467,1151.41253143029,1037.9941525034656,1033.2316417343318,1028.600166641786,1020.1252751284545,911.7690828742694,907.0080111064229,902.3779351107368,893.9056032170066,877.1128507875181
42,7.555144006062312E7,1019.7917090428301,764.1979734669984,1366.7116934042297,906.661738380791,1168.5322871764374,1163.7786391904383,1159.1557796660404,1150.6966472713962,1038.0044546378435,1033.252553146618,1028.6313917228658,1020.1753660242615,912.3163744133584,907.5656622331095,902.9456571094189,894.4917470814397,877.7456578835621
43,7.542593964158571E7,1019.8084966419534,764.6086866536526,1364.8861828583126,910.1863078072803,1167.8959654596702,1163.1505609170044,1158.5357146184574,1150.0912390456601,1038.0349425349018,1033.2910102947817,1028.6775954719305,1020.2357388222591,912.7992737719561,908.0562993862094,903.443815798206,895.0036636973106,878.294636527048
44,7.534459346676822E7,1019.8397373588356,764.9218701963254,1363.1818240964135,913.309003333378,1167.3880633994581,1162.6481010225434,1158.0385440847062,1149.6037417417842,1038.0876883892042,1033.348942819076,1028.740568914513,1020.3079309279907,913.2145589754133,908.4765586550992,903.8689092533031,895.4375982678376,878.7553792139141
45,7.530487470620745E7,1019.8851353023136,765.1432969237677,1361.597646205229,916.0433548899274,1167.003040139045,1162.2658778862628,1157.6590412866099,1149.229211888849,1038.1617890634652,1033.4256066858648,1028.8197227307683,1020.3916360997279,913.5657423092777,908.8301110583844,904.2247628465981,895.7976585459952,879.1325583892291
46,7.527471362870741E7,1019.940935114878,765.3462337629052,1360.1213266584718,919.8337654608603,1166.6705728671418,1161.9355896696916,1157.3308695994542,1148.9049085086504,1038.245782223265,1033.511558854283,1028.907577458479,1020.4829676137566,913.8974005971048,909.163548009631,904.559926994992,896.1359788406297,879.4854752563357
47,7.527176031160523E7,1020.009203616176,765.4903571164319,1358.759647350902,923.6869143611981,1166.4293648410417,1161.6948273561798,1157.090538420507,1148.6653620782536,1038.3459763433375,1033.61199644932,1029.00824953647,1020.5840645891648,914.1850002879761,909.4512271968532,904.8476812184227,896.4238662207819,879.7814924719777
48,7.529601475490145E7,1020.0899408062074,765.5756669843453,1357.51260828252,927.2188949482207,1166.2794160607446,1161.5435909457237,1156.9380477497707,1148.5105725976564,1038.4623714236832,1033.7269194709838,1029.1217389647381,1020.6949270259541,914.4285413818928,909.6931486200498,905.0880255168896,896.6613206864523,880.0206100361548
49,7.534747695859538E7,1020.183146684972,765.6021633666459,1356.3802094533257,930.4297072219282,1166.2207265262505,1161.481880438324,1156.8733975872433,1148.440540066861,1038.5949674643002,1033.8563279192708,1029.2480457432853,1020.8155549241206,914.6280238788537,909.8893122792186,905.2809598903908,896.848342237642,880.202827948866
