% Model:              postProcessing.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 2 2017, 13:17
% Dimension:          2
% Nodes:              4862
% Expressions:        1
% Description:        power density
% Length unit:        m
% r                       z                        Pdensity (W/m^3) @ t=0
0.17                      0.49                     0
0.19                      0.49                     0
0.21000000000000002       0.49                     0
0.23                      0.49                     0
0.25                      0.49                     0
0.27                      0.49                     0
0.29000000000000004       0.49                     0
0.31                      0.49                     0
0.33                      0.49                     0
0.35000000000000003       0.49                     0
0.37                      0.49                     0
0.39                      0.49                     0
0.41000000000000003       0.49                     0
0.43                      0.49                     0
0.45                      0.49                     0
0.47000000000000003       0.49                     0
0.49                      0.49                     0
0.51                      0.49                     0
0.53                      0.49                     0
0.55                      0.49                     0
0.5700000000000001        0.49                     0
0.59                      0.49                     0
0.61                      0.49                     0
0.63                      0.49                     0
0.65                      0.49                     0
0.67                      0.49                     0
